File ID,Packet Tech,Band,Sidelink Band,Duration s,Energy mJ,Sidelink Energy mJ,Total Energy mJ,RSRP (pcell).1,RSRP (scell).1,File type,OperatorName,Tx Power mW,Sidelink Tx Power mW,Total Tx Power mW,Latitude,Longitude,Nearest Latitude,Nearest Longitude,Distance [km]
video_062_3,24.0,6.0,9.0,2.5470001697540283,9.338616153573401,6.77770719630766,16.116323349881057,-107.0280900292934,-107.0280900292934,video,SFR,3.666515716987667,2.661054866345849,6.3275705833335145,48.86245,2.355201,48.86055555555556,2.352222222222222,0.305528783425773
video_099_2,19.0,8.0,6.0,31.9760000705719,203.893554271255,3.58192355867357,4.254189975625017,-inf,-inf,video,SFR,6.376455898838391,0.11201912530548434,0.1330432188590163,48.862686,2.351237,48.86055555555556,2.352222222222222,0.2506060093458503
video_105_1,24.0,6.0,9.0,65.94400000572205,257.9871621301188,55.52436796949151,307.4828688388535,-86.26993251321531,-86.26993251321531,video,ORANGE,3.912215851445665,0.8419927205609848,4.662787650311974,48.838146,2.408711,48.83611111111111,2.412777777777778,0.37490054598734235
video_105_2,24.0,8.0,9.0,64.76199984550476,11.688557139496808,256.4497929248628,46.069226155265696,-84.58242610395658,-84.58242610395658,video,ORANGE,0.18048480848925066,3.9598806944912988,0.7113620065033158,48.835255,2.408157,48.83611111111111,2.412777777777778,0.35242315776582483
video_105_3,24.0,8.0,9.0,61.39800000190735,272.6752971649169,268.617118019418,323.207882178474,-85.17633902410066,-85.17633902410066,video,ORANGE,4.441110413310632,4.375014137448668,5.264143492759266,48.832943,2.404535,48.83611111111111,2.4025,0.3833479418355161
video_106_1,24.0,8.0,9.0,64.44400000572205,0.7926755295770965,0.2901323574094288,0.8407961113280145,-43.31637580314613,-43.31637580314613,video,ORANGE,0.012300222355948019,0.004502084870331879,0.013046926187905148,48.879051,2.400999,48.88027777777778,2.4030555555555555,0.20643681563211289
video_106_2,24.0,8.0,9.0,62.568000078201294,17.064061307754855,28.181172413498444,20.196860385069982,-66.31998549457533,-66.31998549457533,video,ORANGE,0.27272825224439257,0.4504087133722654,0.3227985609229433,48.881531,2.397234,48.88027777777778,2.3969444444444443,0.1445826096527693
video_106_3,24.0,8.0,9.0,61.7039999961853,66.37296403028775,261.7562556150986,182.18834618876903,-78.15221087374825,-78.15221087374825,video,ORANGE,1.0756671210033562,4.242127830145226,2.952618083106968,48.88353,2.396801,48.88388888888889,2.3936111111111114,0.2404753004900476
video_107_1,24.0,8.0,9.0,60.32600021362305,0.9243285191366158,39.76606786123696,7.272725231176792,-70.59354673092109,-70.59354673092109,video,ORANGE,0.015322224511213001,0.659186216895196,0.12055706006403583,48.844269,2.412343,48.84222222222222,2.4119444444444444,0.23177091964753696
video_107_2,24.0,6.0,9.0,62.86299991607666,0.4949876692528944,201.78179810788765,34.364968605249906,-80.94850843765326,-80.94850843765326,video,ORANGE,0.007874070119366123,3.209865873045676,0.5466644711694926,48.848804,2.41323,48.85,2.4125,0.14789011029316426
video_107_3,24.0,8.0,9.0,63.63800001144409,0.2124715288743426,18.6333050506281,2.8103539203737853,-58.97696125696945,-58.97696125696945,video,ORANGE,0.0033387524566475,0.2928015501316391,0.04416156887187524,48.853642,2.411687,48.85,2.4125,0.41094156289766476
video_108_1,24.0,8.0,9.0,64.6710000038147,0.3538451993093552,15.48483475204793,2.1691819512930746,-61.05308681097704,-61.05308681097704,video,ORANGE,0.005471466334036635,0.23944016253242625,0.03354180314461076,48.833733,2.387417,48.83166666666666,2.3858333333333333,0.25909266023257876
video_108_2,24.0,8.0,9.0,63.080000162124634,2.3180991691181676,5.793616847589481,6.022651963738614,-55.19321544605347,-55.19321544605347,video,ORANGE,0.036748559974006355,0.09184554268704909,0.0954764100865494,48.83329,2.386578,48.83166666666666,2.3858333333333333,0.1909280017973726
